country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
Africa,Cotton,Summer,86.59,2020.8581482076222,50.26,69.43
China,Maze,Summer,63.08,2020.6526363916662,52.99,16.68
Germany,Cotton,Fall,18.33,2021.3249404686585,83.87,54.77
United States,Plam Oil,Winter,27.31,2020.3479358752747,52.14,47.24
Australia,Wheat,Spring,31.55,2020.906385622879,40.27,72.93
United States,Wheat,Spring,12.05,2020.1851973350172,82.58,89.56
United States,Cotton,Winter,54.87,2021.6736979037587,49.2,38.84
Australia,Cotton,Winter,29.44,2020.4755727703475,39.08,90.71
Australia,Apples,Winter,67.38,2020.3266161976414,57.34,22.39
United States,Sugar Cane,Winter,76.81,2020.7890789873732,44.54,48.68
India,Plam Oil,Summer,82.18,2021.4818266013763,31.44,81.85
Australia,Paddy,Winter,15.04,2021.3439096194681,83.12,58.43
France,Paddy,Spring,75.61,2020.4633898882541,56.09,82.78
Germany,Plam Oil,Rainy Season,24.28,2020.674706421093,88.03,27.95
France,Cotton,Winter,10.94,2020.1680991968417,35.58,33.78
India,Maze,Winter,58.07,2021.6222631178925,11.06,67.63
United States,Sugar Cane,Rainy Season,32.1,2021.8131487738124,70.41,56.95
France,Sugar Cane,Summer,80.41,2020.5850098151352,25.88,21.12
Australia,Plam Oil,Spring,69.84,2020.3299192451866,36.06,63.92
China,Sugar Cane,Summer,25.1,2020.8442766548876,70.31,48.88
Africa,Wheat,Summer,15.55,2020.0001512299584,17.32,66.21
Africa,Maze,Winter,76.1,2020.5428802851854,35.77,77.62
United States,Sugar Cane,Fall,89.57,2020.5542878555577,44.43,16.1
India,Apples,Summer,54.01,2020.7696462333956,44.65,62.22
Africa,Maze,Summer,79.9,2020.9706501061853,65.1,27.49
China,Wheat,Spring,54.26,2020.2300803380529,65.63,55.09
Australia,Maze,Fall,78.99,2020.4247913653087,89.64,22.1
France,Cotton,Fall,17.38,2021.7368240603714,25.21,45.72
Australia,Cotton,Spring,53.09,2021.9729547267114,27.72,77.46
Africa,Apples,Summer,44.99,2020.6771335126457,16.43,55.0
India,Cotton,Winter,91.46,2020.8544631177674,14.65,62.33
United States,Cotton,Winter,91.23,2020.9772513595242,29.25,33.56
France,Sugar Cane,Rainy Season,55.69,2021.1421480421081,78.72,74.04
Africa,Cotton,Spring,42.01,2021.5143847651827,16.87,89.74
Africa,Sugar Cane,Spring,62.38,2021.7766778914847,13.27,62.75
France,Plam Oil,Summer,89.01,2021.4665989608186,87.89,18.15
India,Sugar Cane,Rainy Season,70.29,2020.1252813190063,40.27,61.83
United States,Apples,Rainy Season,37.24,2021.6427685712038,35.76,13.85
Australia,Paddy,Spring,77.85,2020.6839196625106,28.19,54.99
United States,Plam Oil,Fall,71.06,2020.5692094464455,31.22,37.7
France,Plam Oil,Winter,69.6,2020.9411640251365,38.28,61.57
Australia,Apples,Rainy Season,37.54,2020.9229567930527,87.74,33.02
Australia,Paddy,Winter,66.92,2021.7842221346978,31.24,61.77
United States,Paddy,Spring,90.75,2021.246448912882,14.25,44.2
India,Plam Oil,Fall,35.39,2020.7237510676541,34.96,90.37
Germany,Sugar Cane,Rainy Season,82.26,2021.3580047152548,84.01,55.84
Germany,Apples,Rainy Season,22.09,2020.7401672941944,33.54,42.22
India,Paddy,Fall,60.86,2021.4297766988977,68.65,23.97
Australia,Maze,Spring,35.51,2020.6673402684028,87.01,15.66
China,Apples,Summer,68.48,2020.0233981820966,71.34,38.98
France,Apples,Spring,60.16,2020.7336632688434,11.57,79.79
Australia,Wheat,Summer,32.15,2020.706107577436,80.14,31.8
Africa,Paddy,Rainy Season,90.71,2020.7415255244316,55.14,55.29
Australia,Maze,Fall,34.59,2020.4871069298488,90.25,29.51
Australia,Plam Oil,Fall,14.47,2020.7347835886408,35.04,35.33
Germany,Paddy,Fall,43.06,2021.9263355101343,47.18,84.92
China,Maze,Fall,32.45,2021.4990659182029,48.78,18.68
United States,Maze,Spring,68.22,2020.4232146703494,67.31,28.27
Germany,Plam Oil,Summer,49.22,2020.5741880851144,36.84,46.6
Australia,Sugar Cane,Fall,56.54,2021.778692008709,80.85,49.03
Australia,Maze,Summer,57.26,2020.700294764708,60.1,18.94
Australia,Paddy,Winter,24.98,2021.5972320005556,53.12,88.78
China,Paddy,Summer,49.89,2021.452589953208,15.15,17.69
Germany,Sugar Cane,Summer,59.43,2021.2416146632845,26.94,43.81
India,Plam Oil,Fall,50.57,2020.2908418095901,11.39,51.71
United States,Wheat,Fall,58.04,2020.5394205534826,76.89,40.09
Africa,Wheat,Winter,40.72,2021.99704651374,71.11,90.81
Australia,Sugar Cane,Rainy Season,30.23,2020.3838100104774,67.56,52.17
France,Maze,Summer,21.55,2020.965060575002,52.1,76.52
United States,Plam Oil,Spring,68.2,2020.8818229729332,22.08,36.28
France,Sugar Cane,Rainy Season,80.54,2020.4761371226252,75.24,13.97
United States,Cotton,Summer,83.26,2020.2149498699316,36.12,89.15
France,Sugar Cane,Rainy Season,11.86,2021.4740321622921,67.99,82.34
Australia,Sugar Cane,Summer,52.66,2021.1171481559138,80.82,15.16
Australia,Sugar Cane,Spring,65.81,2021.712247164985,49.07,42.41
India,Maze,Summer,16.42,2021.0836085067617,89.96,11.6
United States,Wheat,Fall,55.58,2020.5136835941194,27.54,70.61
China,Maze,Winter,82.03,2020.1261801662552,16.36,12.11
India,Wheat,Fall,40.1,2020.6251649461988,27.29,58.61
Australia,Plam Oil,Summer,36.73,2020.0341030042982,85.94,41.71
Germany,Sugar Cane,Fall,46.99,2021.9654556583714,68.82,54.91
India,Sugar Cane,Rainy Season,89.14,2020.4913582439654,85.86,38.11
France,Apples,Fall,60.84,2020.4469886461393,63.82,86.7
France,Cotton,Rainy Season,21.01,2020.999447635148,24.48,67.54
China,Wheat,Fall,32.04,2020.8868700809992,87.09,36.42
France,Wheat,Fall,52.28,2020.1157510417288,10.36,89.99
Africa,Wheat,Summer,53.6,2021.1331037883294,76.62,48.96
China,Cotton,Winter,55.76,2021.5571795328344,51.97,42.98
United States,Cotton,Rainy Season,58.9,2021.6178664636682,37.71,29.84
Africa,Wheat,Spring,26.27,2020.5956072524582,77.51,24.42
Australia,Sugar Cane,Rainy Season,85.58,2021.495605360406,85.09,27.75
China,Sugar Cane,Spring,19.17,2021.9919170280887,60.97,67.55
Africa,Paddy,Spring,50.88,2021.9597006421307,88.36,57.84
United States,Plam Oil,Summer,20.36,2020.4469332548101,26.14,41.27
Germany,Wheat,Winter,16.07,2020.5555948711792,11.01,30.28
United States,Sugar Cane,Rainy Season,50.3,2020.36979050872,40.26,39.39
Germany,Wheat,Rainy Season,78.16,2021.7570350365668,47.1,13.21
United States,Sugar Cane,Rainy Season,68.98,2020.1663193470963,57.8,13.01
Australia,Plam Oil,Rainy Season,63.87,2020.6727569838595,67.47,77.09
France,Paddy,Spring,87.28,2020.2186605474537,85.02,67.09
China,Paddy,Rainy Season,46.31,2020.195422928967,22.61,70.32
China,Apples,Winter,15.03,2021.9142536291672,63.15,89.87
Africa,Plam Oil,Spring,34.42,2020.9237815695017,83.36,66.67
China,Plam Oil,Fall,53.03,2020.9325364612268,52.27,75.45
China,Sugar Cane,Summer,72.98,2021.0816257046233,12.66,51.6
Australia,Paddy,Winter,33.01,2020.0892158199038,14.41,13.95
Germany,Wheat,Summer,82.4,2021.0672315048496,65.54,59.18
Germany,Sugar Cane,Rainy Season,51.3,2020.584511237663,87.55,82.67
France,Plam Oil,Rainy Season,48.32,2020.1534542710372,72.85,70.94
India,Paddy,Rainy Season,33.64,2021.0465048821497,34.51,48.52
India,Apples,Spring,32.66,2020.4408157104872,73.47,85.98
Australia,Maze,Rainy Season,90.81,2021.4593599841407,70.0,33.58
Africa,Apples,Rainy Season,20.15,2020.1425639477911,91.18,68.53
India,Maze,Summer,23.84,2021.162354200243,12.07,37.94
Germany,Wheat,Spring,66.31,2020.4289924793873,93.08,42.92
China,Cotton,Summer,19.03,2021.113143973583,36.86,32.69
India,Apples,Summer,38.34,2021.097122774818,71.95,38.28
United States,Cotton,Winter,47.68,2021.6091288405128,68.66,45.01
Australia,Sugar Cane,Fall,19.48,2021.9203392030754,87.9,87.99
France,Cotton,Winter,57.81,2021.7461249861778,91.01,33.61
India,Sugar Cane,Winter,39.3,2020.2219755718666,75.53,24.26
China,Maze,Spring,76.84,2020.5456240909964,29.88,87.36
Africa,Paddy,Spring,37.43,2020.6558600246233,78.38,60.95
United States,Paddy,Spring,14.06,2020.0782182351766,68.87,10.31
United States,Paddy,Fall,63.91,2021.9955080484954,21.6,20.71
United States,Apples,Spring,75.37,2021.5066382421248,72.59,45.47
China,Plam Oil,Rainy Season,21.75,2021.620381159812,58.63,69.85
United States,Maze,Summer,42.52,2020.089597938461,30.93,29.11
United States,Wheat,Summer,82.14,2020.27932430879,92.11,18.14
United States,Wheat,Rainy Season,28.48,2020.361406444157,27.48,53.67
Australia,Apples,Rainy Season,14.76,2021.1139963126614,49.13,34.4
France,Apples,Summer,15.87,2021.2555919125678,38.61,70.59
Germany,Apples,Winter,31.64,2020.4737452817044,11.03,30.22
France,Cotton,Rainy Season,17.04,2020.3288758824658,16.74,53.58
Germany,Paddy,Summer,78.35,2021.2068879585322,33.32,40.05
China,Plam Oil,Fall,20.63,2020.7205503506932,27.21,70.43
Africa,Cotton,Spring,19.14,2021.4793498470021,65.4,87.31
China,Maze,Winter,78.89,2020.5202065021938,33.71,92.25
United States,Sugar Cane,Summer,14.33,2020.0629580338662,53.33,92.36
Africa,Apples,Fall,27.9,2020.1320244311983,80.88,68.9
Germany,Plam Oil,Winter,83.61,2021.7427328890374,87.65,27.38
India,Apples,Winter,60.57,2021.6672325712173,43.82,76.88
Africa,Apples,Fall,72.75,2021.211696227196,30.52,42.78
Africa,Paddy,Winter,21.68,2021.8826613625167,56.37,52.94
United States,Wheat,Fall,18.31,2020.8778382234573,72.2,24.99
United States,Maze,Summer,68.31,2020.0094257535652,71.7,31.17
India,Wheat,Rainy Season,33.79,2020.4047487847524,31.9,91.94
Africa,Cotton,Spring,60.72,2021.5924375688996,29.52,79.85
France,Maze,Rainy Season,62.87,2020.3148615218101,81.82,82.91
Africa,Sugar Cane,Rainy Season,84.03,2020.926414352598,83.58,39.31
Australia,Cotton,Summer,64.24,2020.322824179972,44.57,79.48
Germany,Apples,Fall,30.12,2020.7741704657944,33.46,14.27
China,Paddy,Spring,68.65,2021.5252945262512,57.95,79.82
Germany,Maze,Winter,87.88,2021.4126117240226,41.31,33.06
Africa,Apples,Fall,59.91,2020.7472657872765,24.84,73.41
Australia,Apples,Summer,34.43,2020.163115191748,10.66,14.94
Africa,Cotton,Winter,75.87,2021.4098433793524,66.01,78.74
Germany,Plam Oil,Fall,64.99,2021.3544437807454,22.74,27.09
France,Wheat,Rainy Season,11.69,2021.2203445914215,55.92,25.16
Africa,Wheat,Summer,17.39,2021.7691487031668,89.49,15.64
United States,Apples,Winter,91.2,2020.372883587705,57.69,52.55
India,Plam Oil,Summer,86.09,2020.987891285007,65.15,19.96
United States,Maze,Summer,87.38,2021.1377880844261,33.51,21.32
India,Cotton,Spring,37.06,2021.5634128706226,82.14,91.37
United States,Sugar Cane,Summer,37.87,2020.4231359006803,65.08,20.92
